Time	Torque	Current	Voltage	Cadans	Speed
5.559	-2.66	10.57	36.09	0.00	0.00
5.609	-2.10	12.58	35.58	0.00	0.00
5.659	1.83	13.91	36.31	102.74	0.00
5.709	4.07	8.95	36.03	102.74	0.00
5.760	7.99	8.87	36.03	67.57	0.00
5.809	20.31	13.19	36.09	67.57	0.00
5.859	21.43	9.38	35.86	67.57	0.00
5.909	20.87	13.26	36.14	53.96	0.00
5.959	19.19	8.66	35.86	53.96	20.69
6.009	21.99	12.11	35.41	61.98	20.69
6.060	23.11	8.30	35.97	61.98	20.69
6.109	16.39	9.34	35.86	61.98	20.69
6.159	5.75	8.37	36.14	59.06	20.69
6.209	7.43	11.39	35.46	59.06	20.69
6.259	-5.46	10.21	35.80	60.98	20.69
6.309	-0.98	10.93	35.58	60.98	20.69
6.360	-6.58	11.47	35.46	60.98	19.54
6.409	-12.18	13.48	36.20	58.59	19.54
6.459	-10.50	12.22	35.35	58.59	19.54
6.509	-8.26	11.54	35.46	62.50	19.54
6.559	-15.54	8.15	36.03	62.50	19.54
6.609	-4.90	9.85	35.75	62.50	19.54
6.659	-6.58	10.06	36.14	56.39	19.54
6.709	6.87	9.49	36.14	56.39	19.54
6.759	5.75	13.05	36.20	68.81	19.44
6.809	21.99	8.37	35.97	68.81	19.44
6.859	19.19	9.85	35.80	68.81	19.44
6.909	25.35	8.37	36.09	54.35	19.44
6.959	17.51	8.77	35.92	54.35	19.44
7.009	18.07	7.58	36.14	74.26	19.44
7.059	18.63	7.15	36.20	74.26	19.44
7.109	5.75	8.37	36.20	63.56	19.44
7.159	4.07	7.36	36.37	63.56	19.30
7.209	2.39	8.55	36.09	63.56	19.30
7.259	-9.94	10.64	35.63	57.25	19.30
7.309	-15.54	9.16	35.92	57.25	19.30
7.359	-15.54	8.91	35.97	64.66	19.30
7.409	-17.22	8.62	36.09	64.66	19.30
7.459	-19.46	9.20	36.66	64.66	19.30
7.510	-22.82	6.82	36.48	48.70	21.67
7.559	-18.90	6.50	36.54	48.70	21.67
7.609	-16.10	6.75	36.48	48.70	21.67
7.659	-14.98	9.70	36.60	48.70	21.67
7.709	-14.98	8.98	36.09	48.70	21.67
7.759	-16.10	8.23	36.20	48.70	21.67
7.810	-14.42	8.41	36.14	48.70	21.67
7.859	-13.30	7.04	36.43	48.70	21.43
7.909	-16.10	0.96	37.85	48.70	21.43
7.959	-16.10	-0.02	38.19	48.70	21.43
8.009	-15.54	-0.05	38.30	0.00	21.43
8.059	-14.98	-0.05	38.42	0.00	21.43
8.110	-13.86	-0.02	38.47	0.00	21.43
8.160	-15.54	0.02	38.53	0.00	21.43
8.210	-17.78	-0.02	38.59	0.00	21.43
8.260	-17.22	-0.05	38.59	0.00	20.47
8.310	-15.54	-0.02	38.64	0.00	20.47
8.360	-15.54	-0.05	38.64	0.00	20.47
8.410	-17.22	-0.05	38.64	0.00	20.47
8.460	-17.22	-0.02	38.64	0.00	20.47
8.510	-11.06	-0.05	38.70	0.00	20.47
8.560	-14.42	-0.05	38.70	0.00	20.47
8.610	-12.18	-0.02	38.70	0.00	22.10
8.660	-12.74	-0.09	38.70	0.00	22.10
8.710	-14.42	0.02	38.70	0.00	22.10
8.760	-14.98	-0.02	38.70	0.00	22.10
8.810	-12.74	-0.02	38.70	0.00	22.10
8.860	-6.58	-0.05	38.70	0.00	22.10
8.910	-9.94	0.02	38.70	0.00	22.10
8.961	-17.22	-0.02	38.76	0.00	21.08
9.010	-20.02	-0.09	38.76	0.00	21.08
9.060	-15.54	-0.05	38.76	0.00	21.08
9.110	-11.06	-0.05	38.76	0.00	21.08
9.160	-12.74	-0.02	38.76	0.00	21.08
9.210	-15.54	-0.02	38.76	0.00	21.08
9.261	-15.54	-0.12	38.76	0.00	21.08
9.310	-13.30	-0.02	38.76	0.00	21.08
9.360	-11.62	-0.02	38.76	0.00	20.15
9.410	-13.30	-0.05	38.76	0.00	20.15
9.460	-13.86	0.02	38.76	0.00	20.15
